START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
4/22/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,4/22/2015,4/22/2015,10:08 PM,10:08 PM
4/23/2015,1:08 PM,1:08 PM,Tigers,Comerica Park,4/23/2015,4/23/2015,4:08 PM,4:08 PM
4/24/2015,7:05 PM,7:05 PM,Mets,Yankee Stadium,4/24/2015,4/24/2015,10:05 PM,10:05 PM
4/25/2015,4:05 PM,4:05 PM,Mets,Yankee Stadium,4/25/2015,4/25/2015,7:05 PM,7:05 PM
4/26/2015,8:05 PM,8:05 PM,Mets,Yankee Stadium,4/26/2015,4/26/2015,11:05 PM,11:05 PM
4/27/2015,7:05 PM,7:05 PM,Rays,Yankee Stadium,4/27/2015,4/27/2015,10:05 PM,10:05 PM
4/28/2015,7:05 PM,7:05 PM,Rays,Yankee Stadium,4/28/2015,4/28/2015,10:05 PM,10:05 PM
4/29/2015,1:05 PM,1:05 PM,Rays,Yankee Stadium,4/29/2015,4/29/2015,4:05 PM,4:05 PM
5/1/2015,7:10 PM,7:10 PM,Red Sox,Fenway Park,5/1/2015,5/1/2015,10:10 PM,10:10 PM
5/2/2015,3:33 AM,3:33 AM,Red Sox,Fenway Park,5/2/2015,5/2/2015,6:33 AM,6:33 AM
5/3/2015,3:33 AM,3:33 AM,Red Sox,Fenway Park,5/3/2015,5/3/2015,6:33 AM,6:33 AM
5/4/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,5/4/2015,5/4/2015,10:07 PM,10:07 PM
5/5/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,5/5/2015,5/5/2015,10:07 PM,10:07 PM
5/6/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,5/6/2015,5/6/2015,10:07 PM,10:07 PM
5/7/2015,7:05 PM,7:05 PM,Orioles,Yankee Stadium,5/7/2015,5/7/2015,10:05 PM,10:05 PM
5/8/2015,7:05 PM,7:05 PM,Orioles,Yankee Stadium,5/8/2015,5/8/2015,10:05 PM,10:05 PM
5/9/2015,1:05 PM,1:05 PM,Orioles,Yankee Stadium,5/9/2015,5/9/2015,4:05 PM,4:05 PM
5/10/2015,1:05 PM,1:05 PM,Orioles,Yankee Stadium,5/10/2015,5/10/2015,4:05 PM,4:05 PM
5/11/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,5/11/2015,5/11/2015,10:10 PM,10:10 PM
