START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
4/17/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,4/17/2015,4/17/2015,10:05 PM,10:05 PM
4/18/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,4/18/2015,4/18/2015,10:05 PM,10:05 PM
4/19/2015,1:35 PM,1:35 PM,Brewers,PNC Park,,4/19/2015,4/19/2015,4:35 PM,4:35 PM
4/20/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,4/20/2015,4/20/2015,10:05 PM,10:05 PM
4/21/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,4/21/2015,4/21/2015,10:05 PM,10:05 PM
4/22/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,4/22/2015,4/22/2015,10:05 PM,10:05 PM
4/23/2015,12:35 PM,12:35 PM,Cubs,PNC Park,,4/23/2015,4/23/2015,3:35 PM,3:35 PM
4/24/2015,9:40 PM,9:40 PM,D-backs,Chase Field,,4/25/2015,4/25/2015,12:40 AM,12:40 AM
4/25/2015,8:10 PM,8:10 PM,D-backs,Chase Field,,4/25/2015,4/25/2015,11:10 PM,11:10 PM
4/26/2015,4:10 PM,4:10 PM,D-backs,Chase Field,,4/26/2015,4/26/2015,7:10 PM,7:10 PM
4/27/2015,8:05 PM,8:05 PM,Cubs,Wrigley Field,,4/27/2015,4/27/2015,11:05 PM,11:05 PM
4/28/2015,8:05 PM,8:05 PM,Cubs,Wrigley Field,,4/28/2015,4/28/2015,11:05 PM,11:05 PM
4/29/2015,8:05 PM,8:05 PM,Cubs,Wrigley Field,,4/29/2015,4/29/2015,11:05 PM,11:05 PM
5/1/2015,8:15 PM,8:15 PM,Cardinals,Busch Stadium,,5/1/2015,5/1/2015,11:15 PM,11:15 PM
5/2/2015,2:15 PM,2:15 PM,Cardinals,Busch Stadium,,5/2/2015,5/2/2015,5:15 PM,5:15 PM
5/3/2015,2:15 PM,2:15 PM,Cardinals,Busch Stadium,,5/3/2015,5/3/2015,5:15 PM,5:15 PM
5/5/2015,7:05 PM,7:05 PM,Reds,PNC Park,,5/5/2015,5/5/2015,10:05 PM,10:05 PM
5/6/2015,7:05 PM,7:05 PM,Reds,PNC Park,,5/6/2015,5/6/2015,10:05 PM,10:05 PM
5/7/2015,7:05 PM,7:05 PM,Reds,PNC Park,,5/7/2015,5/7/2015,10:05 PM,10:05 PM
