START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/20/14,01:05 PM,01:05 PM,Astros,Osceola County Stadium,,03/20/14,03/20/14,04:05 PM,04:05 PM,FALSE,TRUE,03/20/14,12:05 PM,12:05 PM,FREE,BUSY
03/20/14,01:05 PM,01:05 PM,Blue Jays,Bright House Field,"Local TV: TCN",03/20/14,03/20/14,04:05 PM,04:05 PM,FALSE,TRUE,03/20/14,12:05 PM,12:05 PM,FREE,BUSY
03/21/14,01:05 PM,01:05 PM,Red Sox,Bright House Field,"Local TV: MLBN -- TCN",03/21/14,03/21/14,04:05 PM,04:05 PM,FALSE,TRUE,03/21/14,12:05 PM,12:05 PM,FREE,BUSY
03/22/14,01:05 PM,01:05 PM,Pirates,McKechnie Field,"Local Radio: 94 WIP -- 1210 WPHT",03/22/14,03/22/14,04:05 PM,04:05 PM,FALSE,TRUE,03/22/14,12:05 PM,12:05 PM,FREE,BUSY
03/23/14,01:05 PM,01:05 PM,Twins,Bright House Field,"Local TV: CSN ----- Local Radio: 94 WIP -- 1210 WPHT",03/23/14,03/23/14,04:05 PM,04:05 PM,FALSE,TRUE,03/23/14,12:05 PM,12:05 PM,FREE,BUSY
03/24/14,01:05 PM,01:05 PM,Blue Jays,Florida Auto Exchange Stadium,"Local Radio: MLB.com",03/24/14,03/24/14,04:05 PM,04:05 PM,FALSE,TRUE,03/24/14,12:05 PM,12:05 PM,FREE,BUSY
03/25/14,07:05 PM,07:05 PM,Yankees,George M. Steinbrenner Field,"Local TV: MLBN ----- Local Radio: 94 WIP -- 1210 WPHT",03/25/14,03/25/14,10:05 PM,10:05 PM,FALSE,TRUE,03/25/14,06:05 PM,06:05 PM,FREE,BUSY
03/26/14,01:05 PM,01:05 PM,Tigers,Bright House Field,"Local TV: MLBN (delay) -- TCN",03/26/14,03/26/14,04:05 PM,04:05 PM,FALSE,TRUE,03/26/14,12:05 PM,12:05 PM,FREE,BUSY
03/27/14,01:05 PM,01:05 PM,Blue Jays,Bright House Field,"Local TV: TCN",03/27/14,03/27/14,04:05 PM,04:05 PM,FALSE,TRUE,03/27/14,12:05 PM,12:05 PM,FREE,BUSY
03/28/14,07:05 PM,07:05 PM,Pirates,Citizens Bank Park,"Local TV: TCN ----- Local Radio: 94 WIP -- 1210 WPHT",03/28/14,03/28/14,10:05 PM,10:05 PM,FALSE,TRUE,03/28/14,06:05 PM,06:05 PM,FREE,BUSY
03/29/14,01:05 PM,01:05 PM,Pirates,Citizens Bank Park,"Local TV: CSN ----- Local Radio: 94 WIP -- 1210 WPHT",03/29/14,03/29/14,04:05 PM,04:05 PM,FALSE,TRUE,03/29/14,12:05 PM,12:05 PM,FREE,BUSY
03/31/14,02:05 PM,02:05 PM,Rangers,Globe Life Park in Arlington,"Local TV: CSN ----- Local Radio: 94 WIP -- SBP 1480 -- 1210 WPHT",03/31/14,03/31/14,05:05 PM,05:05 PM,FALSE,TRUE,03/31/14,01:05 PM,01:05 PM,FREE,BUSY
04/01/14,08:05 PM,08:05 PM,Rangers,Globe Life Park in Arlington,"Local TV: TCN ----- Local Radio: 94 WIP -- SBP 1480 -- 1210 WPHT",04/01/14,04/01/14,11:05 PM,11:05 PM,FALSE,TRUE,04/01/14,07:05 PM,07:05 PM,FREE,BUSY
04/02/14,08:05 PM,08:05 PM,Rangers,Globe Life Park in Arlington,"Local TV: ESPN2 -- TCN ----- Local Radio: 94 WIP -- 1210 WPHT",04/02/14,04/02/14,11:05 PM,11:05 PM,FALSE,TRUE,04/02/14,07:05 PM,07:05 PM,FREE,BUSY
04/04/14,02:20 PM,02:20 PM,Cubs,Wrigley Field,"Local TV: MLBN -- CSN ----- Local Radio: 94 WIP -- SBP 1480 -- 1210 WPHT",04/04/14,04/04/14,05:20 PM,05:20 PM,FALSE,TRUE,04/04/14,01:20 PM,01:20 PM,FREE,BUSY
04/05/14,02:20 PM,02:20 PM,Cubs,Wrigley Field,"Local TV: TCN ----- Local Radio: 94 WIP -- 1210 WPHT",04/05/14,04/05/14,05:20 PM,05:20 PM,FALSE,TRUE,04/05/14,01:20 PM,01:20 PM,FREE,BUSY
04/06/14,02:20 PM,02:20 PM,Cubs,Wrigley Field,"Local TV: CSN ----- Local Radio: 94 WIP -- 1210 WPHT",04/06/14,04/06/14,05:20 PM,05:20 PM,FALSE,TRUE,04/06/14,01:20 PM,01:20 PM,FREE,BUSY
04/08/14,04:05 PM,04:05 PM,Brewers,Citizens Bank Park,"Local TV: NBC 10 ----- Local Radio: 94 WIP -- 1210 WPHT",04/08/14,04/08/14,07:05 PM,07:05 PM,FALSE,TRUE,04/08/14,03:05 PM,03:05 PM,FREE,BUSY
04/09/14,07:05 PM,07:05 PM,Brewers,Citizens Bank Park,"Local TV: TCN ----- Local Radio: 94 WIP -- 1210 WPHT",04/09/14,04/09/14,10:05 PM,10:05 PM,FALSE,TRUE,04/09/14,06:05 PM,06:05 PM,FREE,BUSY
04/10/14,07:05 PM,07:05 PM,Brewers,Citizens Bank Park,"Local TV: TCN -- MLBN ----- Local Radio: 94 WIP -- 1210 WPHT",04/10/14,04/10/14,10:05 PM,10:05 PM,FALSE,TRUE,04/10/14,06:05 PM,06:05 PM,FREE,BUSY
