START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
4/23/2015,12:45 PM,3:45 PM,Giants,AT&T Park,4/23/2015,4/23/2015,3:45 PM,6:45 PM
4/24/2015,3:33 AM,3:33 AM,Padres,Petco Park,4/24/2015,4/24/2015,6:33 AM,6:33 AM
4/25/2015,3:33 AM,3:33 AM,Padres,Petco Park,4/25/2015,4/25/2015,6:33 AM,6:33 AM
4/26/2015,3:33 AM,3:33 AM,Padres,Petco Park,4/26/2015,4/26/2015,6:33 AM,6:33 AM
4/27/2015,7:10 PM,10:10 PM,Giants,Dodger Stadium,4/27/2015,4/28/2015,10:10 PM,1:10 AM
4/28/2015,7:10 PM,10:10 PM,Giants,Dodger Stadium,4/28/2015,4/29/2015,10:10 PM,1:10 AM
4/29/2015,7:10 PM,10:10 PM,Giants,Dodger Stadium,4/29/2015,4/30/2015,10:10 PM,1:10 AM
5/1/2015,7:10 PM,10:10 PM,D-backs,Dodger Stadium,5/1/2015,5/2/2015,10:10 PM,1:10 AM
5/2/2015,6:10 PM,9:10 PM,D-backs,Dodger Stadium,5/2/2015,5/3/2015,9:10 PM,12:10 AM
5/3/2015,1:10 PM,4:10 PM,D-backs,Dodger Stadium,5/3/2015,5/3/2015,4:10 PM,7:10 PM
5/4/2015,4:20 PM,7:20 PM,Brewers,Miller Park,5/4/2015,5/4/2015,7:20 PM,10:20 PM
5/5/2015,5:10 PM,8:10 PM,Brewers,Miller Park,5/5/2015,5/5/2015,8:10 PM,11:10 PM
5/6/2015,5:10 PM,8:10 PM,Brewers,Miller Park,5/6/2015,5/6/2015,8:10 PM,11:10 PM
5/7/2015,10:40 AM,1:40 PM,Brewers,Miller Park,5/7/2015,5/7/2015,1:40 PM,4:40 PM
5/8/2015,5:40 PM,8:40 PM,Rockies,Coors Field,5/8/2015,5/8/2015,8:40 PM,11:40 PM
5/9/2015,5:10 PM,8:10 PM,Rockies,Coors Field,5/9/2015,5/9/2015,8:10 PM,11:10 PM
5/10/2015,1:10 PM,4:10 PM,Rockies,Coors Field,5/10/2015,5/10/2015,4:10 PM,7:10 PM
5/11/2015,7:10 PM,10:10 PM,Marlins,Dodger Stadium,5/11/2015,5/12/2015,10:10 PM,1:10 AM
5/12/2015,7:10 PM,10:10 PM,Marlins,Dodger Stadium,5/12/2015,5/13/2015,10:10 PM,1:10 AM
5/13/2015,4:50 PM,7:50 PM,Marlins,Dodger Stadium,5/13/2015,5/13/2015,7:50 PM,10:50 PM
5/14/2015,7:10 PM,10:10 PM,Rockies,Dodger Stadium,5/14/2015,5/15/2015,10:10 PM,1:10 AM
5/15/2015,7:10 PM,10:10 PM,Rockies,Dodger Stadium,5/15/2015,5/16/2015,10:10 PM,1:10 AM
5/16/2015,6:10 PM,9:10 PM,Rockies,Dodger Stadium,5/16/2015,5/17/2015,9:10 PM,12:10 AM
