START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
4/18/2015,3:33 AM,3:33 AM,Orioles,Fenway Park,4/18/2015,4/18/2015,6:33 AM,6:33 AM
4/19/2015,3:33 AM,3:33 AM,Orioles,Fenway Park,4/19/2015,4/19/2015,6:33 AM,6:33 AM
4/20/2015,11:05 AM,11:05 AM,Orioles,Fenway Park,4/20/2015,4/20/2015,2:05 PM,2:05 PM
4/21/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,4/21/2015,4/21/2015,10:10 PM,10:10 PM
4/22/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,4/22/2015,4/22/2015,10:10 PM,10:10 PM
4/23/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,4/23/2015,4/23/2015,10:10 PM,10:10 PM
4/24/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,4/24/2015,4/24/2015,10:05 PM,10:05 PM
4/25/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,4/25/2015,4/25/2015,10:05 PM,10:05 PM
4/26/2015,1:35 PM,1:35 PM,Orioles,Oriole Park at Camden Yards,4/26/2015,4/26/2015,4:35 PM,4:35 PM
4/27/2015,6:10 PM,6:10 PM,Blue Jays,Fenway Park,4/27/2015,4/27/2015,9:10 PM,9:10 PM
4/28/2015,6:10 PM,6:10 PM,Blue Jays,Fenway Park,4/28/2015,4/28/2015,9:10 PM,9:10 PM
4/29/2015,6:10 PM,6:10 PM,Blue Jays,Fenway Park,4/29/2015,4/29/2015,9:10 PM,9:10 PM
5/1/2015,7:10 PM,7:10 PM,Yankees,Fenway Park,5/1/2015,5/1/2015,10:10 PM,10:10 PM
5/2/2015,3:33 AM,3:33 AM,Yankees,Fenway Park,5/2/2015,5/2/2015,6:33 AM,6:33 AM
5/3/2015,3:33 AM,3:33 AM,Yankees,Fenway Park,5/3/2015,5/3/2015,6:33 AM,6:33 AM
5/4/2015,7:10 PM,7:10 PM,Rays,Fenway Park,5/4/2015,5/4/2015,10:10 PM,10:10 PM
5/5/2015,7:10 PM,7:10 PM,Rays,Fenway Park,5/5/2015,5/5/2015,10:10 PM,10:10 PM
5/6/2015,7:10 PM,7:10 PM,Rays,Fenway Park,5/6/2015,5/6/2015,10:10 PM,10:10 PM
5/8/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,5/8/2015,5/8/2015,10:07 PM,10:07 PM
5/9/2015,1:07 PM,1:07 PM,Blue Jays,Rogers Centre,5/9/2015,5/9/2015,4:07 PM,4:07 PM
5/10/2015,1:07 PM,1:07 PM,Blue Jays,Rogers Centre,5/10/2015,5/10/2015,4:07 PM,4:07 PM
5/11/2015,10:05 PM,10:05 PM,Athletics,O.co Coliseum,5/12/2015,5/12/2015,1:05 AM,1:05 AM
5/12/2015,10:05 PM,10:05 PM,Athletics,O.co Coliseum,5/13/2015,5/13/2015,1:05 AM,1:05 AM
5/13/2015,3:35 PM,3:35 PM,Athletics,O.co Coliseum,5/13/2015,5/13/2015,6:35 PM,6:35 PM
5/14/2015,10:10 PM,10:10 PM,Mariners,Safeco Field,5/15/2015,5/15/2015,1:10 AM,1:10 AM
5/15/2015,10:10 PM,10:10 PM,Mariners,Safeco Field,5/16/2015,5/16/2015,1:10 AM,1:10 AM
5/16/2015,9:10 PM,9:10 PM,Mariners,Safeco Field,5/17/2015,5/17/2015,12:10 AM,12:10 AM
5/17/2015,4:10 PM,4:10 PM,Mariners,Safeco Field,5/17/2015,5/17/2015,7:10 PM,7:10 PM
5/19/2015,7:10 PM,7:10 PM,Rangers,Fenway Park,5/19/2015,5/19/2015,10:10 PM,10:10 PM
