START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,AT_HOME,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
4/8/2014,13:35:00,16:35:00,D-backs,AT&T Park,TRUE,,4/8/2014,4/8/2014,16:35:00,19:35:00
4/9/2014,19:15:00,22:15:00,D-backs,AT&T Park,TRUE,,4/9/2014,4/10/2014,22:15:00,1:15:00
4/10/2014,19:15:00,22:15:00,D-backs,AT&T Park,TRUE,,4/10/2014,4/11/2014,22:15:00,1:15:00
4/11/2014,19:15:00,22:15:00,Rockies,AT&T Park,TRUE,Local TV: NBC Bay Area,4/11/2014,4/12/2014,22:15:00,1:15:00
4/12/2014,13:05:00,16:05:00,Rockies,AT&T Park,TRUE,,4/12/2014,4/12/2014,16:05:00,19:05:00
4/13/2014,13:05:00,16:05:00,Rockies,AT&T Park,TRUE,,4/13/2014,4/13/2014,16:05:00,19:05:00
4/15/2014,19:15:00,22:15:00,Dodgers,AT&T Park,TRUE,,4/15/2014,4/16/2014,22:15:00,1:15:00
4/16/2014,19:15:00,22:15:00,Dodgers,AT&T Park,TRUE,Local TV: NBC Bay Area,4/16/2014,4/17/2014,22:15:00,1:15:00
4/17/2014,12:45:00,15:45:00,Dodgers,AT&T Park,TRUE,,4/17/2014,4/17/2014,15:45:00,18:45:00
4/18/2014,19:10:00,22:10:00,Padres,Petco Park,FALSE,,4/18/2014,4/19/2014,22:10:00,1:10:00
4/19/2014,17:40:00,20:40:00,Padres,Petco Park,FALSE,,4/19/2014,4/19/2014,20:40:00,23:40:00
4/20/2014,13:10:00,16:10:00,Padres,Petco Park,FALSE,,4/20/2014,4/20/2014,16:10:00,19:10:00
4/21/2014,17:40:00,20:40:00,Rockies,Coors Field,FALSE,,4/21/2014,4/21/2014,20:40:00,23:40:00
4/22/2014,17:40:00,20:40:00,Rockies,Coors Field,FALSE,,4/22/2014,4/22/2014,20:40:00,23:40:00
4/23/2014,12:10:00,15:10:00,Rockies,Coors Field,FALSE,,4/23/2014,4/23/2014,15:10:00,18:10:00
4/25/2014,19:15:00,22:15:00,Indians,AT&T Park,TRUE,,4/25/2014,4/26/2014,22:15:00,1:15:00
4/26/2014,13:05:00,16:05:00,Indians,AT&T Park,TRUE,,4/26/2014,4/26/2014,16:05:00,19:05:00
4/27/2014,13:05:00,16:05:00,Indians,AT&T Park,TRUE,,4/27/2014,4/27/2014,16:05:00,19:05:00
4/28/2014,19:15:00,22:15:00,Padres,AT&T Park,TRUE,,4/28/2014,4/29/2014,22:15:00,1:15:00
4/29/2014,19:15:00,22:15:00,Padres,AT&T Park,TRUE,,4/29/2014,4/30/2014,22:15:00,1:15:00
4/30/2014,19:15:00,22:15:00,Padres,AT&T Park,TRUE,,4/30/2014,5/1/2014,22:15:00,1:15:00
5/2/2014,16:35:00,19:35:00,Braves,Turner Field,FALSE,,5/2/2014,5/2/2014,19:35:00,22:35:00
5/3/2014,16:10:00,19:10:00,Braves,Turner Field,FALSE,,5/3/2014,5/3/2014,19:10:00,22:10:00
5/4/2014,10:35:00,13:35:00,Braves,Turner Field,FALSE,,5/4/2014,5/4/2014,13:35:00,16:35:00
5/5/2014,16:05:00,19:05:00,Pirates,PNC Park,FALSE,,5/5/2014,5/5/2014,19:05:00,22:05:00
5/6/2014,16:05:00,19:05:00,Pirates,PNC Park,FALSE,,5/6/2014,5/6/2014,19:05:00,22:05:00
5/7/2014,9:35:00,12:35:00,Pirates,PNC Park,FALSE,,5/7/2014,5/7/2014,12:35:00,15:35:00
5/8/2014,19:10:00,22:10:00,Dodgers,Dodger Stadium,FALSE,,5/8/2014,5/9/2014,22:10:00,1:10:00
5/9/2014,19:10:00,22:10:00,Dodgers,Dodger Stadium,FALSE,Local TV: NBC Bay Area,5/9/2014,5/10/2014,22:10:00,1:10:00
5/10/2014,13:10:00,16:10:00,Dodgers,Dodger Stadium,FALSE,Local TV: FS1,5/10/2014,5/10/2014,16:10:00,19:10:00
5/11/2014,3:33:00,3:33:00,Dodgers,Dodger Stadium,FALSE,,5/11/2014,5/11/2014,6:33:00,6:33:00
5/12/2014,19:15:00,22:15:00,Braves,AT&T Park,TRUE,,5/12/2014,5/13/2014,22:15:00,1:15:00
5/13/2014,19:15:00,22:15:00,Braves,AT&T Park,TRUE,,5/13/2014,5/14/2014,22:15:00,1:15:00
5/14/2014,12:45:00,15:45:00,Braves,AT&T Park,TRUE,,5/14/2014,5/14/2014,15:45:00,18:45:00
5/15/2014,19:15:00,22:15:00,Marlins,AT&T Park,TRUE,,5/15/2014,5/16/2014,22:15:00,1:15:00
5/16/2014,19:15:00,22:15:00,Marlins,AT&T Park,TRUE,Local TV: NBC Bay Area,5/16/2014,5/17/2014,22:15:00,1:15:00
5/17/2014,18:05:00,21:05:00,Marlins,AT&T Park,TRUE,,5/17/2014,5/18/2014,21:05:00,0:05:00
5/18/2014,13:05:00,16:05:00,Marlins,AT&T Park,TRUE,,5/18/2014,5/18/2014,16:05:00,19:05:00
5/20/2014,17:40:00,20:40:00,Rockies,Coors Field,FALSE,,5/20/2014,5/20/2014,20:40:00,23:40:00
5/21/2014,17:40:00,20:40:00,Rockies,Coors Field,FALSE,,5/21/2014,5/21/2014,20:40:00,23:40:00
5/22/2014,12:10:00,15:10:00,Rockies,Coors Field,FALSE,,5/22/2014,5/22/2014,15:10:00,18:10:00
5/23/2014,19:15:00,22:15:00,Twins,AT&T Park,TRUE,Local TV: NBC Bay Area,5/23/2014,5/24/2014,22:15:00,1:15:00
5/24/2014,19:05:00,22:05:00,Twins,AT&T Park,TRUE,,5/24/2014,5/25/2014,22:05:00,1:05:00
5/25/2014,13:05:00,16:05:00,Twins,AT&T Park,TRUE,,5/25/2014,5/25/2014,16:05:00,19:05:00
5/26/2014,13:05:00,16:05:00,Cubs,AT&T Park,TRUE,,5/26/2014,5/26/2014,16:05:00,19:05:00
5/27/2014,19:15:00,22:15:00,Cubs,AT&T Park,TRUE,,5/27/2014,5/28/2014,22:15:00,1:15:00
5/28/2014,12:45:00,15:45:00,Cubs,AT&T Park,TRUE,,5/28/2014,5/28/2014,15:45:00,18:45:00
5/29/2014,17:15:00,20:15:00,Cardinals,Busch Stadium,FALSE,,5/29/2014,5/29/2014,20:15:00,23:15:00
5/30/2014,17:15:00,20:15:00,Cardinals,Busch Stadium,FALSE,,5/30/2014,5/30/2014,20:15:00,23:15:00
5/31/2014,11:15:00,14:15:00,Cardinals,Busch Stadium,FALSE,,5/31/2014,5/31/2014,14:15:00,17:15:00
6/1/2014,11:15:00,14:15:00,Cardinals,Busch Stadium,FALSE,,6/1/2014,6/1/2014,14:15:00,17:15:00
6/3/2014,16:10:00,19:10:00,Reds,Great American Ball Park,FALSE,,6/3/2014,6/3/2014,19:10:00,22:10:00
6/4/2014,16:10:00,19:10:00,Reds,Great American Ball Park,FALSE,,6/4/2014,6/4/2014,19:10:00,22:10:00
6/5/2014,9:35:00,12:35:00,Reds,Great American Ball Park,FALSE,,6/5/2014,6/5/2014,12:35:00,15:35:00
6/6/2014,19:15:00,22:15:00,Mets,AT&T Park,TRUE,Local TV: NBC Bay Area,6/6/2014,6/7/2014,22:15:00,1:15:00
6/7/2014,19:05:00,22:05:00,Mets,AT&T Park,TRUE,,6/7/2014,6/8/2014,22:05:00,1:05:00
6/8/2014,13:05:00,16:05:00,Mets,AT&T Park,TRUE,,6/8/2014,6/8/2014,16:05:00,19:05:00
6/9/2014,19:15:00,22:15:00,Nationals,AT&T Park,TRUE,,6/9/2014,6/10/2014,22:15:00,1:15:00
6/10/2014,19:15:00,22:15:00,Nationals,AT&T Park,TRUE,,6/10/2014,6/11/2014,22:15:00,1:15:00
6/11/2014,19:15:00,22:15:00,Nationals,AT&T Park,TRUE,,6/11/2014,6/12/2014,22:15:00,1:15:00
6/12/2014,12:45:00,15:45:00,Nationals,AT&T Park,TRUE,,6/12/2014,6/12/2014,15:45:00,18:45:00
6/13/2014,19:15:00,22:15:00,Rockies,AT&T Park,TRUE,,6/13/2014,6/14/2014,22:15:00,1:15:00
6/14/2014,13:05:00,16:05:00,Rockies,AT&T Park,TRUE,,6/14/2014,6/14/2014,16:05:00,19:05:00
6/15/2014,13:05:00,16:05:00,Rockies,AT&T Park,TRUE,,6/15/2014,6/15/2014,16:05:00,19:05:00
6/17/2014,17:10:00,20:10:00,White Sox,U.S. Cellular Field,FALSE,,6/17/2014,6/17/2014,20:10:00,23:10:00
6/18/2014,11:10:00,14:10:00,White Sox,U.S. Cellular Field,FALSE,,6/18/2014,6/18/2014,14:10:00,17:10:00
6/20/2014,18:40:00,21:40:00,D-backs,Chase Field,FALSE,Local TV: NBC Bay Area,6/20/2014,6/21/2014,21:40:00,0:40:00
6/21/2014,19:10:00,22:10:00,D-backs,Chase Field,FALSE,,6/21/2014,6/22/2014,22:10:00,1:10:00
6/22/2014,13:10:00,16:10:00,D-backs,Chase Field,FALSE,,6/22/2014,6/22/2014,16:10:00,19:10:00
6/23/2014,19:15:00,22:15:00,Padres,AT&T Park,TRUE,,6/23/2014,6/24/2014,22:15:00,1:15:00
6/24/2014,19:15:00,22:15:00,Padres,AT&T Park,TRUE,,6/24/2014,6/25/2014,22:15:00,1:15:00
6/25/2014,12:45:00,15:45:00,Padres,AT&T Park,TRUE,,6/25/2014,6/25/2014,15:45:00,18:45:00
6/26/2014,19:15:00,22:15:00,Reds,AT&T Park,TRUE,Local TV: NBC Bay Area,6/26/2014,6/27/2014,22:15:00,1:15:00
6/27/2014,19:15:00,22:15:00,Reds,AT&T Park,TRUE,,6/27/2014,6/28/2014,22:15:00,1:15:00
6/28/2014,19:05:00,22:05:00,Reds,AT&T Park,TRUE,,6/28/2014,6/29/2014,22:05:00,1:05:00
6/29/2014,13:05:00,16:05:00,Reds,AT&T Park,TRUE,,6/29/2014,6/29/2014,16:05:00,19:05:00
7/1/2014,19:15:00,22:15:00,Cardinals,AT&T Park,TRUE,,7/1/2014,7/2/2014,22:15:00,1:15:00
