START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/14/14,04:05 PM,04:05 PM,White Sox,Camelback Ranch,"Local Radio: 99X -- MLB.com",03/14/14,03/14/14,07:05 PM,07:05 PM,FALSE,TRUE,03/14/14,03:05 PM,03:05 PM,FREE,BUSY
03/15/14,04:05 PM,04:05 PM,D-backs,Goodyear Ballpark,"Local Radio: MLB.com -- WTAM 1100",03/15/14,03/15/14,07:05 PM,07:05 PM,FALSE,TRUE,03/15/14,03:05 PM,03:05 PM,FREE,BUSY
03/16/14,04:05 PM,04:05 PM,Giants,Scottsdale Stadium,,03/16/14,03/16/14,07:05 PM,07:05 PM,FALSE,TRUE,03/16/14,03:05 PM,03:05 PM,FREE,BUSY
03/16/14,04:05 PM,04:05 PM,Cubs,Cubs Park,"Local Radio: WTAM 1100",03/16/14,03/16/14,07:05 PM,07:05 PM,FALSE,TRUE,03/16/14,03:05 PM,03:05 PM,FREE,BUSY
03/17/14,04:05 PM,04:05 PM,Reds,Goodyear Ballpark,"Local TV: MLBN -- SportsTime Ohio ----- Local Radio: MLB.com",03/17/14,03/17/14,07:05 PM,07:05 PM,FALSE,TRUE,03/17/14,03:05 PM,03:05 PM,FREE,BUSY
03/18/14,10:05 PM,10:05 PM,Giants,Goodyear Ballpark,,03/19/14,03/19/14,01:05 AM,01:05 AM,FALSE,TRUE,03/18/14,09:05 PM,09:05 PM,FREE,BUSY
03/19/14,04:05 PM,04:05 PM,Athletics,Goodyear Ballpark,,03/19/14,03/19/14,07:05 PM,07:05 PM,FALSE,TRUE,03/19/14,03:05 PM,03:05 PM,FREE,BUSY
03/21/14,04:10 PM,04:10 PM,Rockies,Salt River Fields at Talking Stick,"Local Radio: WTAM 1100 -- MLB.com",03/21/14,03/21/14,07:10 PM,07:10 PM,FALSE,TRUE,03/21/14,03:10 PM,03:10 PM,FREE,BUSY
03/22/14,04:05 PM,04:05 PM,Rockies,Goodyear Ballpark,"Local Radio: WMMS 100.7 -- MLB.com",03/22/14,03/22/14,07:05 PM,07:05 PM,FALSE,TRUE,03/22/14,03:05 PM,03:05 PM,FREE,BUSY
03/23/14,04:05 PM,04:05 PM,Angels,Tempe Diablo Stadium,"Local TV: MLBN ----- Local Radio: 99X",03/23/14,03/23/14,07:05 PM,07:05 PM,FALSE,TRUE,03/23/14,03:05 PM,03:05 PM,FREE,BUSY
03/24/14,04:05 PM,04:05 PM,Reds,Goodyear Ballpark,"Local TV: MLBN ----- Local Radio: MLB.com",03/24/14,03/24/14,07:05 PM,07:05 PM,FALSE,TRUE,03/24/14,03:05 PM,03:05 PM,FREE,BUSY
03/25/14,04:05 PM,04:05 PM,Rangers,Goodyear Ballpark,"Local Radio: MLB.com",03/25/14,03/25/14,07:05 PM,07:05 PM,FALSE,TRUE,03/25/14,03:05 PM,03:05 PM,FREE,BUSY
03/26/14,04:05 PM,04:05 PM,Brewers,Goodyear Ballpark,"Local Radio: MLB.com",03/26/14,03/26/14,07:05 PM,07:05 PM,FALSE,TRUE,03/26/14,03:05 PM,03:05 PM,FREE,BUSY
03/27/14,04:10 PM,04:10 PM,D-backs,Salt River Fields at Talking Stick,"Local Radio: MLB.com -- WTAM 1100",03/27/14,03/27/14,07:10 PM,07:10 PM,FALSE,TRUE,03/27/14,03:10 PM,03:10 PM,FREE,BUSY
03/28/14,09:10 PM,09:10 PM,Padres,Fowler Park and Cunningham Field,,03/29/14,03/29/14,12:10 AM,12:10 AM,FALSE,TRUE,03/28/14,08:10 PM,08:10 PM,FREE,BUSY
03/29/14,04:10 PM,04:10 PM,Padres,Fowler Park and Cunningham Field,"Local TV: MLBN ----- Local Radio: WTAM 1100 -- MLB.com",03/29/14,03/29/14,07:10 PM,07:10 PM,FALSE,TRUE,03/29/14,03:10 PM,03:10 PM,FREE,BUSY
03/31/14,10:05 PM,10:05 PM,Athletics,O.co Coliseum,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/01/14,04/01/14,01:05 AM,01:05 AM,FALSE,TRUE,03/31/14,09:05 PM,09:05 PM,FREE,BUSY
04/02/14,03:35 PM,03:35 PM,Athletics,O.co Coliseum,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100",04/02/14,04/02/14,06:35 PM,06:35 PM,FALSE,TRUE,04/02/14,02:35 PM,02:35 PM,FREE,BUSY
04/02/14,09:00 PM,09:00 PM,Athletics,O.co Coliseum,"Local TV: MLBN -- SportsTime Ohio ----- Local Radio: WTAM 1100",04/03/14,04/03/14,12:00 AM,12:00 AM,FALSE,TRUE,04/02/14,08:00 PM,08:00 PM,FREE,BUSY
