START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
4/19/2015,1:05 PM,4:05 PM,D-backs,AT&T Park,4/19/2015,4/19/2015,4:05 PM,7:05 PM
4/21/2015,7:15 PM,10:15 PM,Dodgers,AT&T Park,4/21/2015,4/22/2015,10:15 PM,1:15 AM
4/22/2015,7:15 PM,10:15 PM,Dodgers,AT&T Park,4/22/2015,4/23/2015,10:15 PM,1:15 AM
4/23/2015,12:45 PM,3:45 PM,Dodgers,AT&T Park,4/23/2015,4/23/2015,3:45 PM,6:45 PM
4/24/2015,5:40 PM,8:40 PM,Rockies,Coors Field,4/24/2015,4/24/2015,8:40 PM,11:40 PM
4/25/2015,5:10 PM,8:10 PM,Rockies,Coors Field,4/25/2015,4/25/2015,8:10 PM,11:10 PM
4/26/2015,1:10 PM,4:10 PM,Rockies,Coors Field,4/26/2015,4/26/2015,4:10 PM,7:10 PM
4/27/2015,7:10 PM,10:10 PM,Dodgers,Dodger Stadium,4/27/2015,4/28/2015,10:10 PM,1:10 AM
4/28/2015,7:10 PM,10:10 PM,Dodgers,Dodger Stadium,4/28/2015,4/29/2015,10:10 PM,1:10 AM
4/29/2015,7:10 PM,10:10 PM,Dodgers,Dodger Stadium,4/29/2015,4/30/2015,10:10 PM,1:10 AM
5/1/2015,7:15 PM,10:15 PM,Angels,AT&T Park,5/1/2015,5/2/2015,10:15 PM,1:15 AM
5/2/2015,1:05 PM,4:05 PM,Angels,AT&T Park,5/2/2015,5/2/2015,4:05 PM,7:05 PM
5/3/2015,1:05 PM,4:05 PM,Angels,AT&T Park,5/3/2015,5/3/2015,4:05 PM,7:05 PM
5/4/2015,7:15 PM,10:15 PM,Padres,AT&T Park,5/4/2015,5/5/2015,10:15 PM,1:15 AM
5/5/2015,7:15 PM,10:15 PM,Padres,AT&T Park,5/5/2015,5/6/2015,10:15 PM,1:15 AM
5/6/2015,12:45 PM,3:45 PM,Padres,AT&T Park,5/6/2015,5/6/2015,3:45 PM,6:45 PM
5/7/2015,7:15 PM,10:15 PM,Marlins,AT&T Park,5/7/2015,5/8/2015,10:15 PM,1:15 AM
5/8/2015,7:15 PM,10:15 PM,Marlins,AT&T Park,5/8/2015,5/9/2015,10:15 PM,1:15 AM
5/9/2015,6:05 PM,9:05 PM,Marlins,AT&T Park,5/9/2015,5/10/2015,9:05 PM,12:05 AM
5/10/2015,1:05 PM,4:05 PM,Marlins,AT&T Park,5/10/2015,5/10/2015,4:05 PM,7:05 PM
5/12/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,5/12/2015,5/12/2015,6:33 AM,6:33 AM
5/13/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,5/13/2015,5/13/2015,6:33 AM,6:33 AM
5/14/2015,4:10 PM,7:10 PM,Reds,Great American Ball Park,5/14/2015,5/14/2015,7:10 PM,10:10 PM
5/15/2015,4:10 PM,7:10 PM,Reds,Great American Ball Park,5/15/2015,5/15/2015,7:10 PM,10:10 PM
5/16/2015,3:33 AM,3:33 AM,Reds,Great American Ball Park,5/16/2015,5/16/2015,6:33 AM,6:33 AM
5/17/2015,10:10 AM,1:10 PM,Reds,Great American Ball Park,5/17/2015,5/17/2015,1:10 PM,4:10 PM
5/19/2015,7:15 PM,10:15 PM,Dodgers,AT&T Park,5/19/2015,5/20/2015,10:15 PM,1:15 AM
5/20/2015,7:15 PM,10:15 PM,Dodgers,AT&T Park,5/20/2015,5/21/2015,10:15 PM,1:15 AM
5/21/2015,12:45 PM,3:45 PM,Dodgers,AT&T Park,5/21/2015,5/21/2015,3:45 PM,6:45 PM
5/22/2015,5:10 PM,8:10 PM,Rockies,Coors Field,5/22/2015,5/22/2015,8:10 PM,11:10 PM
5/23/2015,1:10 PM,4:10 PM,Rockies,Coors Field,5/23/2015,5/23/2015,4:10 PM,7:10 PM
5/24/2015,1:10 PM,4:10 PM,Rockies,Coors Field,5/24/2015,5/24/2015,4:10 PM,7:10 PM
5/25/2015,11:10 AM,2:10 PM,Brewers,Miller Park,5/25/2015,5/25/2015,2:10 PM,5:10 PM
5/26/2015,5:10 PM,8:10 PM,Brewers,Miller Park,5/26/2015,5/26/2015,8:10 PM,11:10 PM
5/27/2015,10:40 AM,1:40 PM,Brewers,Miller Park,5/27/2015,5/27/2015,1:40 PM,4:40 PM
5/28/2015,7:15 PM,10:15 PM,Braves,AT&T Park,5/28/2015,5/29/2015,10:15 PM,1:15 AM
5/29/2015,7:15 PM,10:15 PM,Braves,AT&T Park,5/29/2015,5/30/2015,10:15 PM,1:15 AM
5/30/2015,7:05 PM,10:05 PM,Braves,AT&T Park,5/30/2015,5/31/2015,10:05 PM,1:05 AM
5/31/2015,1:05 PM,4:05 PM,Braves,AT&T Park,5/31/2015,5/31/2015,4:05 PM,7:05 PM
6/1/2015,7:15 PM,10:15 PM,Pirates,AT&T Park,6/1/2015,6/2/2015,10:15 PM,1:15 AM
6/2/2015,7:15 PM,10:15 PM,Pirates,AT&T Park,6/2/2015,6/3/2015,10:15 PM,1:15 AM
6/3/2015,12:45 PM,3:45 PM,Pirates,AT&T Park,6/3/2015,6/3/2015,3:45 PM,6:45 PM
6/5/2015,4:05 PM,7:05 PM,Phillies,Citizens Bank Park,6/5/2015,6/5/2015,7:05 PM,10:05 PM
6/6/2015,12:05 PM,3:05 PM,Phillies,Citizens Bank Park,6/6/2015,6/6/2015,3:05 PM,6:05 PM
6/7/2015,10:35 AM,1:35 PM,Phillies,Citizens Bank Park,6/7/2015,6/7/2015,1:35 PM,4:35 PM
6/9/2015,4:10 PM,7:10 PM,Mets,Citi Field,6/9/2015,6/9/2015,7:10 PM,10:10 PM
6/10/2015,4:10 PM,7:10 PM,Mets,Citi Field,6/10/2015,6/10/2015,7:10 PM,10:10 PM
6/11/2015,4:10 PM,7:10 PM,Mets,Citi Field,6/11/2015,6/11/2015,7:10 PM,10:10 PM
6/12/2015,7:15 PM,10:15 PM,D-backs,AT&T Park,6/12/2015,6/13/2015,10:15 PM,1:15 AM
6/13/2015,4:15 PM,7:15 PM,D-backs,AT&T Park,6/13/2015,6/13/2015,7:15 PM,10:15 PM
6/14/2015,1:05 PM,4:05 PM,D-backs,AT&T Park,6/14/2015,6/14/2015,4:05 PM,7:05 PM
6/15/2015,7:15 PM,10:15 PM,Mariners,AT&T Park,6/15/2015,6/16/2015,10:15 PM,1:15 AM
6/16/2015,12:45 PM,3:45 PM,Mariners,AT&T Park,6/16/2015,6/16/2015,3:45 PM,6:45 PM
6/17/2015,7:10 PM,10:10 PM,Mariners,Safeco Field,6/17/2015,6/18/2015,10:10 PM,1:10 AM
6/18/2015,7:10 PM,10:10 PM,Mariners,Safeco Field,6/18/2015,6/19/2015,10:10 PM,1:10 AM
6/19/2015,7:10 PM,10:10 PM,Dodgers,Dodger Stadium,6/19/2015,6/20/2015,10:10 PM,1:10 AM
6/20/2015,4:15 PM,7:15 PM,Dodgers,Dodger Stadium,6/20/2015,6/20/2015,7:15 PM,10:15 PM
6/21/2015,3:33 AM,3:33 AM,Dodgers,Dodger Stadium,6/21/2015,6/21/2015,6:33 AM,6:33 AM
6/23/2015,7:15 PM,10:15 PM,Padres,AT&T Park,6/23/2015,6/24/2015,10:15 PM,1:15 AM
6/24/2015,7:15 PM,10:15 PM,Padres,AT&T Park,6/24/2015,6/25/2015,10:15 PM,1:15 AM
6/25/2015,7:15 PM,10:15 PM,Padres,AT&T Park,6/25/2015,6/26/2015,10:15 PM,1:15 AM
6/26/2015,7:15 PM,10:15 PM,Rockies,AT&T Park,6/26/2015,6/27/2015,10:15 PM,1:15 AM
6/27/2015,1:05 PM,4:05 PM,Rockies,AT&T Park,6/27/2015,6/27/2015,4:05 PM,7:05 PM
6/28/2015,1:05 PM,4:05 PM,Rockies,AT&T Park,6/28/2015,6/28/2015,4:05 PM,7:05 PM
6/30/2015,4:10 PM,7:10 PM,Marlins,Marlins Park,6/30/2015,6/30/2015,7:10 PM,10:10 PM
7/1/2015,4:10 PM,7:10 PM,Marlins,Marlins Park,7/1/2015,7/1/2015,7:10 PM,10:10 PM
7/2/2015,9:10 AM,12:10 PM,Marlins,Marlins Park,7/2/2015,7/2/2015,12:10 PM,3:10 PM
7/3/2015,3:05 PM,6:05 PM,Nationals,Nationals Park,7/3/2015,7/3/2015,6:05 PM,9:05 PM
7/4/2015,8:05 AM,11:05 AM,Nationals,Nationals Park,7/4/2015,7/4/2015,11:05 AM,2:05 PM
7/5/2015,10:35 AM,1:35 PM,Nationals,Nationals Park,7/5/2015,7/5/2015,1:35 PM,4:35 PM
7/6/2015,7:15 PM,10:15 PM,Mets,AT&T Park,7/6/2015,7/7/2015,10:15 PM,1:15 AM
7/7/2015,7:15 PM,10:15 PM,Mets,AT&T Park,7/7/2015,7/8/2015,10:15 PM,1:15 AM
7/8/2015,12:45 PM,3:45 PM,Mets,AT&T Park,7/8/2015,7/8/2015,3:45 PM,6:45 PM
7/10/2015,7:15 PM,10:15 PM,Phillies,AT&T Park,7/10/2015,7/11/2015,10:15 PM,1:15 AM
7/11/2015,7:05 PM,10:05 PM,Phillies,AT&T Park,7/11/2015,7/12/2015,10:05 PM,1:05 AM
7/12/2015,1:05 PM,4:05 PM,Phillies,AT&T Park,7/12/2015,7/12/2015,4:05 PM,7:05 PM
