START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
4/26/2015,1:08 PM,1:08 PM,Tigers,Comerica Park,4/26/2015,4/26/2015,4:08 PM,4:08 PM
4/27/2015,3:33 AM,3:33 AM,Royals,Progressive Field,4/27/2015,4/27/2015,6:33 AM,6:33 AM
4/28/2015,3:33 AM,3:33 AM,Royals,Progressive Field,4/28/2015,4/28/2015,6:33 AM,6:33 AM
4/29/2015,3:33 AM,3:33 AM,Royals,Progressive Field,4/29/2015,4/29/2015,6:33 AM,6:33 AM
4/30/2015,3:33 AM,3:33 AM,Blue Jays,Progressive Field,4/30/2015,4/30/2015,6:33 AM,6:33 AM
5/1/2015,3:33 AM,3:33 AM,Blue Jays,Progressive Field,5/1/2015,5/1/2015,6:33 AM,6:33 AM
5/2/2015,3:33 AM,3:33 AM,Blue Jays,Progressive Field,5/2/2015,5/2/2015,6:33 AM,6:33 AM
5/3/2015,3:33 AM,3:33 AM,Blue Jays,Progressive Field,5/3/2015,5/3/2015,6:33 AM,6:33 AM
5/5/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/5/2015,5/5/2015,6:33 AM,6:33 AM
5/6/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/6/2015,5/6/2015,6:33 AM,6:33 AM
5/7/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/7/2015,5/7/2015,6:33 AM,6:33 AM
5/8/2015,3:33 AM,3:33 AM,Twins,Progressive Field,5/8/2015,5/8/2015,6:33 AM,6:33 AM
5/9/2015,3:33 AM,3:33 AM,Twins,Progressive Field,5/9/2015,5/9/2015,6:33 AM,6:33 AM
5/10/2015,3:33 AM,3:33 AM,Twins,Progressive Field,5/10/2015,5/10/2015,6:33 AM,6:33 AM
5/12/2015,3:33 AM,3:33 AM,Cardinals,Progressive Field,5/12/2015,5/12/2015,6:33 AM,6:33 AM
5/13/2015,3:33 AM,3:33 AM,Cardinals,Progressive Field,5/13/2015,5/13/2015,6:33 AM,6:33 AM
5/14/2015,3:33 AM,3:33 AM,Cardinals,Progressive Field,5/14/2015,5/14/2015,6:33 AM,6:33 AM
5/15/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,5/15/2015,5/15/2015,11:05 PM,11:05 PM
5/16/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,5/16/2015,5/16/2015,11:05 PM,11:05 PM
5/17/2015,3:05 PM,3:05 PM,Rangers,Globe Life Park in Arlington,5/17/2015,5/17/2015,6:05 PM,6:05 PM
5/18/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,5/18/2015,5/18/2015,6:33 AM,6:33 AM
5/19/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,5/19/2015,5/19/2015,6:33 AM,6:33 AM
5/20/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,5/20/2015,5/20/2015,6:33 AM,6:33 AM
5/21/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,5/21/2015,5/21/2015,6:33 AM,6:33 AM
5/22/2015,3:33 AM,3:33 AM,Reds,Progressive Field,5/22/2015,5/22/2015,6:33 AM,6:33 AM
5/23/2015,3:33 AM,3:33 AM,Reds,Progressive Field,5/23/2015,5/23/2015,6:33 AM,6:33 AM
5/24/2015,3:33 AM,3:33 AM,Reds,Progressive Field,5/24/2015,5/24/2015,6:33 AM,6:33 AM
5/25/2015,3:33 AM,3:33 AM,Rangers,Progressive Field,5/25/2015,5/25/2015,6:33 AM,6:33 AM
5/26/2015,3:33 AM,3:33 AM,Rangers,Progressive Field,5/26/2015,5/26/2015,6:33 AM,6:33 AM
5/27/2015,3:33 AM,3:33 AM,Rangers,Progressive Field,5/27/2015,5/27/2015,6:33 AM,6:33 AM
5/28/2015,10:10 PM,10:10 PM,Mariners,Safeco Field,5/29/2015,5/29/2015,1:10 AM,1:10 AM
5/29/2015,10:10 PM,10:10 PM,Mariners,Safeco Field,5/30/2015,5/30/2015,1:10 AM,1:10 AM
5/30/2015,10:10 PM,10:10 PM,Mariners,Safeco Field,5/31/2015,5/31/2015,1:10 AM,1:10 AM
5/31/2015,4:10 PM,4:10 PM,Mariners,Safeco Field,5/31/2015,5/31/2015,7:10 PM,7:10 PM
6/2/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,6/2/2015,6/2/2015,6:33 AM,6:33 AM
6/3/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,6/3/2015,6/3/2015,6:33 AM,6:33 AM
6/4/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,6/4/2015,6/4/2015,6:33 AM,6:33 AM
6/5/2015,3:33 AM,3:33 AM,Orioles,Progressive Field,6/5/2015,6/5/2015,6:33 AM,6:33 AM
6/6/2015,3:33 AM,3:33 AM,Orioles,Progressive Field,6/6/2015,6/6/2015,6:33 AM,6:33 AM
6/7/2015,3:33 AM,3:33 AM,Orioles,Progressive Field,6/7/2015,6/7/2015,6:33 AM,6:33 AM
6/9/2015,3:33 AM,3:33 AM,Mariners,Progressive Field,6/9/2015,6/9/2015,6:33 AM,6:33 AM
6/10/2015,3:33 AM,3:33 AM,Mariners,Progressive Field,6/10/2015,6/10/2015,6:33 AM,6:33 AM
6/11/2015,3:33 AM,3:33 AM,Mariners,Progressive Field,6/11/2015,6/11/2015,6:33 AM,6:33 AM
6/12/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,6/12/2015,6/12/2015,10:08 PM,10:08 PM
6/13/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,6/13/2015,6/13/2015,10:08 PM,10:08 PM
6/14/2015,1:08 PM,1:08 PM,Tigers,Comerica Park,6/14/2015,6/14/2015,4:08 PM,4:08 PM
6/15/2015,8:05 PM,8:05 PM,Cubs,Wrigley Field,6/15/2015,6/15/2015,11:05 PM,11:05 PM
6/16/2015,8:05 PM,8:05 PM,Cubs,Wrigley Field,6/16/2015,6/16/2015,11:05 PM,11:05 PM
6/17/2015,3:33 AM,3:33 AM,Cubs,Progressive Field,6/17/2015,6/17/2015,6:33 AM,6:33 AM
6/18/2015,3:33 AM,3:33 AM,Cubs,Progressive Field,6/18/2015,6/18/2015,6:33 AM,6:33 AM
6/19/2015,3:33 AM,3:33 AM,Rays,Progressive Field,6/19/2015,6/19/2015,6:33 AM,6:33 AM
6/20/2015,3:33 AM,3:33 AM,Rays,Progressive Field,6/20/2015,6/20/2015,6:33 AM,6:33 AM
6/21/2015,3:33 AM,3:33 AM,Rays,Progressive Field,6/21/2015,6/21/2015,6:33 AM,6:33 AM
6/22/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,6/22/2015,6/22/2015,6:33 AM,6:33 AM
6/23/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,6/23/2015,6/23/2015,6:33 AM,6:33 AM
6/24/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,6/24/2015,6/24/2015,6:33 AM,6:33 AM
6/26/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,6/26/2015,6/26/2015,10:05 PM,10:05 PM
6/27/2015,3:33 AM,3:33 AM,Orioles,Oriole Park at Camden Yards,6/27/2015,6/27/2015,6:33 AM,6:33 AM
6/28/2015,1:35 PM,1:35 PM,Orioles,Oriole Park at Camden Yards,6/28/2015,6/28/2015,4:35 PM,4:35 PM
6/29/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,6/29/2015,6/29/2015,10:10 PM,10:10 PM
6/30/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,6/30/2015,6/30/2015,10:10 PM,10:10 PM
7/1/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,7/1/2015,7/1/2015,10:10 PM,10:10 PM
7/2/2015,12:10 PM,12:10 PM,Rays,Tropicana Field,7/2/2015,7/2/2015,3:10 PM,3:10 PM
7/3/2015,7:05 PM,7:05 PM,Pirates,PNC Park,7/3/2015,7/3/2015,10:05 PM,10:05 PM
7/4/2015,4:05 PM,4:05 PM,Pirates,PNC Park,7/4/2015,7/4/2015,7:05 PM,7:05 PM
7/5/2015,1:35 PM,1:35 PM,Pirates,PNC Park,7/5/2015,7/5/2015,4:35 PM,4:35 PM
7/6/2015,3:33 AM,3:33 AM,Astros,Progressive Field,7/6/2015,7/6/2015,6:33 AM,6:33 AM
7/7/2015,3:33 AM,3:33 AM,Astros,Progressive Field,7/7/2015,7/7/2015,6:33 AM,6:33 AM
7/8/2015,3:33 AM,3:33 AM,Astros,Progressive Field,7/8/2015,7/8/2015,6:33 AM,6:33 AM
7/9/2015,3:33 AM,3:33 AM,Astros,Progressive Field,7/9/2015,7/9/2015,6:33 AM,6:33 AM
7/10/2015,3:33 AM,3:33 AM,Athletics,Progressive Field,7/10/2015,7/10/2015,6:33 AM,6:33 AM
7/11/2015,3:33 AM,3:33 AM,Athletics,Progressive Field,7/11/2015,7/11/2015,6:33 AM,6:33 AM
7/12/2015,3:33 AM,3:33 AM,Athletics,Progressive Field,7/12/2015,7/12/2015,6:33 AM,6:33 AM
7/14/2015,3:33 AM,3:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,7/14/2015,7/14/2015,6:33 AM,6:33 AM
7/17/2015,7:10 PM,7:10 PM,Reds,Great American Ball Park,7/17/2015,7/17/2015,10:10 PM,10:10 PM
